Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
Run: 1
c-fat200-1.clq       | 1284                           | 1284.00                          | 1                             
c-fat200-2.clq       | 2411                           | 2411.00                          | 1                             
c-fat200-5.clq       | 5887                           | 5887.00                          | 1                             
c-fat500-1.clq       | 1354                           | 1354.00                          | 1                             
c-fat500-10.clq      | 11415                          | 11415.00                         | 1                             
c-fat500-2.clq       | 2628                           | 2628.00                          | 1                             
c-fat500-5.clq       | 5841                           | 5841.00                          | 1                             
DSJC1000_5.clq       | 2123                           | 2123.00                          | 1                             
DSJC500_5.clq        | 1708                           | 1708.00                          | 1                             
gen200_p0.9_44.clq   | 5043                           | 5043.00                          | 1                             
gen200_p0.9_55.clq   | 5416                           | 5416.00                          | 1                             
gen400_p0.9_55.clq   | 6650                           | 6650.00                          | 1                             
gen400_p0.9_65.clq   | 6920                           | 6920.00                          | 1                             
gen400_p0.9_75.clq   | 8006                           | 8006.00                          | 1                             
hamming10-2.clq      | 50312                          | 50312.00                         | 1                             
hamming10-4.clq      | 4857                           | 4857.00                          | 1                             
hamming6-2.clq       | 1072                           | 1072.00                          | 1                             
hamming6-4.clq       | 134                            | 134.00                           | 1                             
hamming8-2.clq       | 10976                          | 10976.00                         | 1                             
hamming8-4.clq       | 1472                           | 1472.00                          | 1                             

Run: 2
c-fat200-1.clq       | 1284                           | 1284.00                          | 2                             
c-fat200-2.clq       | 2411                           | 2411.00                          | 2                             
c-fat200-5.clq       | 5887                           | 5887.00                          | 2                             
c-fat500-1.clq       | 1354                           | 1354.00                          | 2                             
c-fat500-10.clq      | 11439                          | 11427.00                         | 1                             
c-fat500-2.clq       | 2628                           | 2628.00                          | 2                             
c-fat500-5.clq       | 5841                           | 5800.00                          | 1                             
DSJC1000_5.clq       | 2146                           | 2134.00                          | 1                             
DSJC500_5.clq        | 1708                           | 1708.00                          | 2                             
gen200_p0.9_44.clq   | 5043                           | 5043.00                          | 2                             
gen200_p0.9_55.clq   | 5416                           | 5416.00                          | 2                             
gen400_p0.9_55.clq   | 6712                           | 6681.00                          | 1                             
gen400_p0.9_65.clq   | 6920                           | 6908.00                          | 1                             
gen400_p0.9_75.clq   | 8006                           | 8006.00                          | 2                             
hamming10-2.clq      | 50312                          | 50312.00                         | 2                             
hamming10-4.clq      | 4857                           | 4853.00                          | 1                             
hamming6-2.clq       | 1072                           | 1072.00                          | 2                             
hamming6-4.clq       | 134                            | 134.00                           | 2                             
