Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count  | |C|                           
Run: 1
sanr200_0.7.clq      | 2325                           | 2325.00                          | 1                              | 15                            
sanr200_0.9.clq      | 5126                           | 5126.00                          | 1                              | 36                            
sanr400_0.5.clq      | 1835                           | 1835.00                          | 1                              | 11                            
sanr400_0.7.clq      | 2992                           | 2992.00                          | 1                              | 18                            

Run: 2
brock200_1.clq       | 2821                           | 2821.00                          | 2                              | 19                            
brock200_2.clq       | 1428                           | 1428.00                          | 2                              | 9                             
brock200_3.clq       | 2062                           | 2062.00                          | 2                              | 13                            
brock200_4.clq       | 2107                           | 2107.00                          | 2                              | 13                            
brock400_1.clq       | 3380                           | 3367.00                          | 1                              | 21                            
brock400_2.clq       | 3322                           | 3322.00                          | 2                              | 22                            
brock400_3.clq       | 3462                           | 3462.00                          | 2                              | 21                            
brock400_4.clq       | 3294                           | 3274.00                          | 1                              | 22                            
brock800_1.clq       | 2962                           | 2925.00                          | 1                              | 19                            
brock800_2.clq       | 2957                           | 2935.00                          | 1                              | 17                            
brock800_3.clq       | 3020                           | 2993.00                          | 1                              | 17                            
brock800_4.clq       | 2963                           | 2963.00                          | 2                              | 18                            
c-fat200-1.clq       | 1284                           | 1284.00                          | 2                              | 12                            
c-fat200-2.clq       | 2411                           | 2411.00                          | 2                              | 23                            
c-fat200-5.clq       | 5887                           | 5887.00                          | 2                              | 58                            
c-fat500-1.clq       | 1354                           | 1354.00                          | 2                              | 12                            
c-fat500-10.clq      | 11439                          | 11364.00                         | 1                              | 125                           
c-fat500-2.clq       | 2628                           | 2628.00                          | 2                              | 24                            
c-fat500-5.clq       | 5779                           | 5779.00                          | 2                              | 62                            
C1000.9.clq          | 8693                           | 8652.00                          | 1                              | 58                            
C125.9.clq           | 2529                           | 2529.00                          | 2                              | 30                            
C2000.5.clq          | 2335                           | 2328.00                          | 1                              | 13                            
C2000.9.clq          | 9916                           | 9882.00                          | 1                              | 62                            
C250.9.clq           | 5060                           | 5060.00                          | 2                              | 38                            
C4000.5.clq          | 2625                           | 2569.00                          | 1                              | 15                            
C500.9.clq           | 6797                           | 6777.00                          | 1                              | 48                            
DSJC1000_5.clq       | 2135                           | 2128.00                          | 1                              | 12                            
DSJC500_5.clq        | 1725                           | 1725.00                          | 2                              | 12                            
gen200_p0.9_44.clq   | 5043                           | 5043.00                          | 2                              | 37                            
gen200_p0.9_55.clq   | 5416                           | 5416.00                          | 2                              | 52                            
gen400_p0.9_55.clq   | 6712                           | 6673.00                          | 1                              | 47                            
gen400_p0.9_65.clq   | 6920                           | 6909.00                          | 1                              | 61                            
gen400_p0.9_75.clq   | 8006                           | 8006.00                          | 2                              | 75                            
hamming10-2.clq      | 50512                          | 50412.00                         | 1                              | 512                           
hamming10-4.clq      | 4847                           | 4840.00                          | 1                              | 33                            
hamming6-2.clq       | 1072                           | 1072.00                          | 2                              | 32                            
hamming6-4.clq       | 134                            | 134.00                           | 2                              | 4                             
hamming8-2.clq       | 10976                          | 10976.00                         | 2                              | 128                           
hamming8-4.clq       | 1472                           | 1472.00                          | 2                              | 16                            
johnson16-2-4.clq    | 548                            | 548.00                           | 2                              | 8                             
johnson32-2-4.clq    | 1963                           | 1952.00                          | 1                              | 16                            
johnson8-2-4.clq     | 66                             | 66.00                            | 2                              | 4                             
johnson8-4-4.clq     | 511                            | 511.00                           | 2                              | 14                            
keller4.clq          | 1153                           | 1153.00                          | 2                              | 11                            
keller5.clq          | 3317                           | 3317.00                          | 2                              | 27                            
keller6.clq          | 6757                           | 6692.00                          | 1                              | 47                            
MANN_a27.clq         | 12252                          | 12251.00                         | 1                              | 125                           
MANN_a45.clq         | 34143                          | 34141.00                         | 1                              | 340                           
MANN_a81.clq         | 111108                         | 111090.00                        | 1                              | 1095                          
MANN_a9.clq          | 372                            | 372.00                           | 2                              | 16                            
p_hat1000-1.clq      | 1514                           | 1501.00                          | 1                              | 9                             
p_hat1000-2.clq      | 5777                           | 5756.00                          | 1                              | 42                            
p_hat1000-3.clq      | 7950                           | 7928.00                          | 1                              | 59                            
p_hat1500-1.clq      | 1619                           | 1619.00                          | 2                              | 10                            
p_hat1500-2.clq      | 7273                           | 7273.00                          | 2                              | 53                            
p_hat1500-3.clq      | 10121                          | 10072.00                         | 1                              | 80                            
p_hat300-1.clq       | 1057                           | 1057.00                          | 2                              | 7                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 2                              | 20                            
p_hat300-3.clq       | 3774                           | 3774.00                          | 2                              | 29                            
p_hat500-1.clq       | 1231                           | 1231.00                          | 2                              | 8                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 2                              | 31                            
p_hat500-3.clq       | 5375                           | 5375.00                          | 2                              | 42                            
p_hat700-1.clq       | 1441                           | 1441.00                          | 2                              | 9                             
p_hat700-2.clq       | 5233                           | 5233.00                          | 2                              | 42                            
p_hat700-3.clq       | 7565                           | 7552.00                          | 1                              | 58                            
san1000.clq          | 1716                           | 1716.00                          | 2                              | 9                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 2                              | 30                            
san200_0.7_2.clq     | 2367                           | 2350.00                          | 1                              | 14                            
san200_0.9_1.clq     | 6825                           | 6825.00                          | 2                              | 70                            
san200_0.9_2.clq     | 6082                           | 6082.00                          | 2                              | 60                            
san200_0.9_3.clq     | 4745                           | 4737.00                          | 1                              | 34                            
san400_0.5_1.clq     | 1455                           | 1455.00                          | 2                              | 8                             
san400_0.7_1.clq     | 3641                           | 3632.00                          | 1                              | 21                            
san400_0.7_2.clq     | 2917                           | 2916.00                          | 1                              | 16                            
san400_0.7_3.clq     | 2579                           | 2579.00                          | 2                              | 15                            
san400_0.9_1.clq     | 8196                           | 8196.00                          | 2                              | 51                            
sanr200_0.7.clq      | 2325                           | 2325.00                          | 2                              | 15                            
sanr200_0.9.clq      | 5126                           | 5126.00                          | 2                              | 36                            
sanr400_0.5.clq      | 1835                           | 1835.00                          | 2                              | 11                            
sanr400_0.7.clq      | 2992                           | 2992.00                          | 2                              | 18                            

Run: 3
brock200_1.clq       | 2821                           | 2821.00                          | 3                              | 19                            
brock200_2.clq       | 1428                           | 1428.00                          | 3                              | 9                             
brock200_3.clq       | 2062                           | 2062.00                          | 3                              | 13                            
brock200_4.clq       | 2107                           | 2107.00                          | 3                              | 13                            
brock400_1.clq       | 3380                           | 3363.00                          | 1                              | 21                            
brock400_2.clq       | 3322                           | 3322.00                          | 3                              | 22                            
brock400_3.clq       | 3462                           | 3462.00                          | 3                              | 21                            
brock400_4.clq       | 3294                           | 3267.00                          | 1                              | 22                            
brock800_1.clq       | 2962                           | 2937.00                          | 2                              | 19                            
brock800_2.clq       | 3017                           | 2962.00                          | 1                              | 18                            
brock800_3.clq       | 3020                           | 3002.00                          | 2                              | 17                            
brock800_4.clq       | 2963                           | 2963.00                          | 3                              | 18                            
c-fat200-1.clq       | 1284                           | 1284.00                          | 3                              | 12                            
c-fat200-2.clq       | 2411                           | 2411.00                          | 3                              | 23                            
c-fat200-5.clq       | 5887                           | 5887.00                          | 3                              | 58                            
c-fat500-1.clq       | 1354                           | 1354.00                          | 3                              | 12                            
c-fat500-10.clq      | 11462                          | 11396.00                         | 1                              | 124                           
c-fat500-2.clq       | 2628                           | 2628.00                          | 3                              | 24                            
c-fat500-5.clq       | 5779                           | 5767.00                          | 2                              | 62                            
C1000.9.clq          | 8693                           | 8587.00                          | 1                              | 58                            
C125.9.clq           | 2529                           | 2529.00                          | 3                              | 30                            
C2000.5.clq          | 2345                           | 2333.00                          | 1                              | 13                            
C2000.9.clq          | 9916                           | 9847.00                          | 1                              | 62                            
C250.9.clq           | 5060                           | 5060.00                          | 3                              | 38                            
C4000.5.clq          | 2625                           | 2567.00                          | 1                              | 15                            
C500.9.clq           | 6797                           | 6752.00                          | 1                              | 48                            
DSJC1000_5.clq       | 2135                           | 2130.00                          | 2                              | 12                            
DSJC500_5.clq        | 1725                           | 1725.00                          | 3                              | 12                            
gen200_p0.9_44.clq   | 5043                           | 5043.00                          | 3                              | 37                            
gen200_p0.9_55.clq   | 5416                           | 5416.00                          | 3                              | 52                            
gen400_p0.9_55.clq   | 6712                           | 6664.00                          | 1                              | 47                            
gen400_p0.9_65.clq   | 6931                           | 6916.00                          | 1                              | 46                            
