Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
Run: 1
p_hat1000-1.clq      | 1514                           | 1514.00                          | 1                             
p_hat1000-2.clq      | 5736                           | 5736.00                          | 1                             
p_hat1000-3.clq      | 7907                           | 7907.00                          | 1                             
p_hat1500-1.clq      | 1619                           | 1619.00                          | 1                             
p_hat1500-2.clq      | 7273                           | 7273.00                          | 1                             
p_hat1500-3.clq      | 10150                          | 10150.00                         | 1                             
p_hat300-1.clq       | 1057                           | 1057.00                          | 1                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 1                             
p_hat300-3.clq       | 3774                           | 3774.00                          | 1                             
p_hat500-1.clq       | 1231                           | 1231.00                          | 1                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 1                             
p_hat500-3.clq       | 5375                           | 5375.00                          | 1                             
p_hat700-1.clq       | 1441                           | 1441.00                          | 1                             
p_hat700-2.clq       | 5223                           | 5223.00                          | 1                             
p_hat700-3.clq       | 7546                           | 7546.00                          | 1                             
san1000.clq          | 1716                           | 1716.00                          | 1                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 1                             
san200_0.7_2.clq     | 2422                           | 2422.00                          | 1                             
san200_0.9_1.clq     | 6825                           | 6825.00                          | 1                             
san200_0.9_2.clq     | 6082                           | 6082.00                          | 1                             
san200_0.9_3.clq     | 4745                           | 4745.00                          | 1                             
san400_0.5_1.clq     | 1455                           | 1455.00                          | 1                             
san400_0.7_1.clq     | 3623                           | 3623.00                          | 1                             
san400_0.7_2.clq     | 2916                           | 2916.00                          | 1                             
san400_0.7_3.clq     | 2578                           | 2578.00                          | 1                             
san400_0.9_1.clq     | 8196                           | 8196.00                          | 1                             
sanr200_0.7.clq      | 2325                           | 2325.00                          | 1                             
sanr200_0.9.clq      | 5126                           | 5126.00                          | 1                             
sanr400_0.5.clq      | 1835                           | 1835.00                          | 1                             
sanr400_0.7.clq      | 2992                           | 2992.00                          | 1                             

Run: 2
p_hat1000-1.clq      | 1514                           | 1501.00                          | 1                             
p_hat1000-2.clq      | 5755                           | 5745.00                          | 1                             
p_hat1000-3.clq      | 7907                           | 7893.00                          | 1                             
p_hat1500-1.clq      | 1619                           | 1617.00                          | 1                             
p_hat1500-2.clq      | 7273                           | 7273.00                          | 2                             
p_hat1500-3.clq      | 10150                          | 10116.00                         | 1                             
p_hat300-1.clq       | 1057                           | 1057.00                          | 2                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 2                             
p_hat300-3.clq       | 3774                           | 3774.00                          | 2                             
p_hat500-1.clq       | 1231                           | 1231.00                          | 2                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 2                             
p_hat500-3.clq       | 5375                           | 5375.00                          | 2                             
p_hat700-1.clq       | 1441                           | 1441.00                          | 2                             
p_hat700-2.clq       | 5233                           | 5228.00                          | 1                             
p_hat700-3.clq       | 7546                           | 7537.00                          | 1                             
san1000.clq          | 1716                           | 1716.00                          | 2                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 2                             
san200_0.7_2.clq     | 2422                           | 2422.00                          | 2                             
san200_0.9_1.clq     | 6825                           | 6825.00                          | 2                             
san200_0.9_2.clq     | 6082                           | 6082.00                          | 2                             
san200_0.9_3.clq     | 4745                           | 4734.00                          | 1                             
san400_0.5_1.clq     | 1455                           | 1451.00                          | 1                             
san400_0.7_1.clq     | 3623                           | 3618.00                          | 1                             
san400_0.7_2.clq     | 2916                           | 2916.00                          | 2                             
san400_0.7_3.clq     | 2579                           | 2578.00                          | 1                             
san400_0.9_1.clq     | 8196                           | 8196.00                          | 2                             
sanr200_0.7.clq      | 2325                           | 2325.00                          | 2                             
sanr200_0.9.clq      | 5126                           | 5126.00                          | 2                             
sanr400_0.5.clq      | 1835                           | 1835.00                          | 2                             
sanr400_0.7.clq      | 2992                           | 2992.00                          | 2                             

Run: 3
p_hat1000-1.clq      | 1514                           | 1497.00                          | 1                             
p_hat1000-2.clq      | 5777                           | 5756.00                          | 1                             
p_hat1000-3.clq      | 7907                           | 7898.00                          | 2                             
p_hat1500-1.clq      | 1619                           | 1602.00                          | 1                             
p_hat1500-2.clq      | 7273                           | 7273.00                          | 3                             
p_hat1500-3.clq      | 10212                          | 10148.00                         | 1                             
p_hat300-1.clq       | 1057                           | 1057.00                          | 3                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 3                             
p_hat300-3.clq       | 3774                           | 3774.00                          | 3                             
p_hat500-1.clq       | 1231                           | 1231.00                          | 3                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 3                             
p_hat500-3.clq       | 5375                           | 5375.00                          | 3                             
p_hat700-1.clq       | 1441                           | 1441.00                          | 3                             
p_hat700-2.clq       | 5273                           | 5243.00                          | 1                             
p_hat700-3.clq       | 7546                           | 7540.00                          | 2                             
san1000.clq          | 1716                           | 1716.00                          | 3                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 3                             
san200_0.7_2.clq     | 2422                           | 2422.00                          | 3                             
san200_0.9_1.clq     | 6825                           | 6825.00                          | 3                             
san200_0.9_2.clq     | 6082                           | 6082.00                          | 3                             
san200_0.9_3.clq     | 4745                           | 4730.00                          | 1                             
san400_0.5_1.clq     | 1455                           | 1452.00                          | 2                             
san400_0.7_1.clq     | 3623                           | 3620.00                          | 2                             
san400_0.7_2.clq     | 2917                           | 2916.00                          | 1                             
san400_0.7_3.clq     | 2613                           | 2590.00                          | 1                             
san400_0.9_1.clq     | 9776                           | 8722.00                          | 1                             
sanr200_0.7.clq      | 2325                           | 2325.00                          | 3                             
sanr200_0.9.clq      | 5126                           | 5126.00                          | 3                             
sanr400_0.5.clq      | 1835                           | 1835.00                          | 3                             
sanr400_0.7.clq      | 2992                           | 2992.00                          | 3                             

Run: 4
p_hat1000-1.clq      | 1514                           | 1501.00                          | 2                             
p_hat1000-2.clq      | 5777                           | 5755.00                          | 1                             
p_hat1000-3.clq      | 7949                           | 7910.00                          | 1                             
p_hat1500-1.clq      | 1619                           | 1606.00                          | 2                             
p_hat1500-2.clq      | 7360                           | 7294.00                          | 1                             
p_hat1500-3.clq      | 10212                          | 10152.00                         | 1                             
p_hat300-1.clq       | 1057                           | 1057.00                          | 4                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 4                             
p_hat300-3.clq       | 3774                           | 3774.00                          | 4                             
p_hat500-1.clq       | 1231                           | 1231.00                          | 4                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 4                             
p_hat500-3.clq       | 5375                           | 5375.00                          | 4                             
p_hat700-1.clq       | 1441                           | 1441.00                          | 4                             
p_hat700-2.clq       | 5273                           | 5240.00                          | 1                             
p_hat700-3.clq       | 7563                           | 7545.00                          | 1                             
san1000.clq          | 1716                           | 1716.00                          | 4                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 4                             
san200_0.7_2.clq     | 2422                           | 2422.00                          | 4                             
san200_0.9_1.clq     | 6825                           | 6825.00                          | 4                             
san200_0.9_2.clq     | 6082                           | 6082.00                          | 4                             
san200_0.9_3.clq     | 4745                           | 4730.00                          | 1                             
san400_0.5_1.clq     | 1455                           | 1453.00                          | 3                             
san400_0.7_1.clq     | 3623                           | 3620.00                          | 3                             
san400_0.7_2.clq     | 2917                           | 2916.00                          | 1                             
san400_0.7_3.clq     | 2613                           | 2587.00                          | 1                             
san400_0.9_1.clq     | 9776                           | 8591.00                          | 1                             
sanr200_0.7.clq      | 2325                           | 2325.00                          | 4                             
sanr200_0.9.clq      | 5126                           | 5126.00                          | 4                             
sanr400_0.5.clq      | 1835                           | 1835.00                          | 4                             
sanr400_0.7.clq      | 2992                           | 2992.00                          | 4                             

Run: 5
p_hat1000-1.clq      | 1514                           | 1504.00                          | 3                             
p_hat1000-2.clq      | 5777                           | 5760.00                          | 2                             
p_hat1000-3.clq      | 7983                           | 7925.00                          | 1                             
p_hat1500-1.clq      | 1619                           | 1607.00                          | 2                             
p_hat1500-2.clq      | 7360                           | 7290.00                          | 1                             
p_hat1500-3.clq      | 10212                          | 10151.00                         | 1                             
p_hat300-1.clq       | 1057                           | 1057.00                          | 5                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 5                             
p_hat300-3.clq       | 3774                           | 3774.00                          | 5                             
p_hat500-1.clq       | 1231                           | 1231.00                          | 5                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 5                             
p_hat500-3.clq       | 5375                           | 5375.00                          | 5                             
p_hat700-1.clq       | 1441                           | 1441.00                          | 5                             
p_hat700-2.clq       | 5290                           | 5250.00                          | 1                             
p_hat700-3.clq       | 7563                           | 7549.00                          | 2                             
san1000.clq          | 1716                           | 1716.00                          | 5                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 5                             
san200_0.7_2.clq     | 2422                           | 2422.00                          | 5                             
san200_0.9_1.clq     | 6825                           | 6825.00                          | 5                             
san200_0.9_2.clq     | 6082                           | 6082.00                          | 5                             
san200_0.9_3.clq     | 4745                           | 4733.00                          | 2                             
san400_0.5_1.clq     | 1455                           | 1453.00                          | 3                             
san400_0.7_1.clq     | 3623                           | 3621.00                          | 4                             
